Measurement Number,Actual Distance (cm),LiDAR distance (cm)
1,148.59,146
2,148.59,146
3,148.59,146
4,148.59,146
5,148.59,146
6,148.59,146
7,148.59,146
8,148.59,147
9,148.59,147
10,148.59,146
11,148.59,146
12,148.59,147
13,148.59,147
14,148.59,146
15,148.59,146
16,148.59,147
17,148.59,147
18,148.59,146
19,148.59,146
20,148.59,146
21,148.59,146
22,148.59,146
23,148.59,146
24,148.59,147
25,148.59,146
26,148.59,146
27,148.59,147
28,148.59,146
29,148.59,146
30,148.59,146
31,148.59,146
32,148.59,146
33,148.59,146
34,148.59,146
35,148.59,147
36,148.59,146
37,148.59,147
38,148.59,146
39,148.59,146
40,148.59,146
41,148.59,146
42,148.59,147
43,148.59,146
44,148.59,146
45,148.59,147
46,148.59,146
47,148.59,146
48,148.59,147
49,148.59,146
50,148.59,146
51,148.59,146
52,148.59,146
53,148.59,146
54,148.59,146
55,148.59,146
56,148.59,147
57,148.59,147
58,148.59,147
59,148.59,147
60,148.59,146
61,148.59,146
62,148.59,147
63,148.59,147
64,148.59,146
65,148.59,146
66,148.59,146
67,148.59,147
68,148.59,147
69,148.59,146
70,148.59,146
71,148.59,147
72,148.59,147
73,148.59,146
74,148.59,146
75,148.59,146
76,148.59,146
77,148.59,146
78,148.59,147
79,148.59,146
80,148.59,147
81,148.59,146
82,148.59,146
83,148.59,146
84,148.59,147
85,148.59,146
86,148.59,146
87,148.59,147
88,148.59,147
89,148.59,146
90,148.59,146
91,148.59,146
92,148.59,147
93,148.59,146
94,148.59,146
95,148.59,147
96,148.59,147
97,148.59,146
98,148.59,146
99,148.59,147
100,148.59,146
101,148.59,146
102,148.59,147
103,148.59,147
104,148.59,146
105,148.59,147
106,148.59,146
107,148.59,146
108,148.59,147
109,148.59,147
110,148.59,147
111,148.59,146
112,148.59,146
113,148.59,146
114,148.59,147
115,148.59,146
116,148.59,147
117,148.59,146
118,148.59,146
119,148.59,146
120,148.59,146
121,148.59,146
122,148.59,146
123,148.59,146
124,148.59,146
125,148.59,146
126,148.59,146
127,148.59,146
128,148.59,147
129,148.59,147
130,148.59,147
131,148.59,147
132,148.59,146
133,148.59,146
134,148.59,146
135,148.59,147
136,148.59,147
137,148.59,146
138,148.59,146
139,148.59,146
140,148.59,146
141,148.59,146
142,148.59,147
143,148.59,146
144,148.59,146
145,148.59,146
146,148.59,146
147,148.59,146
148,148.59,147
149,148.59,146
150,148.59,146
151,148.59,146
152,148.59,147
153,148.59,147
154,148.59,146
155,148.59,146
156,148.59,146
157,148.59,146
158,148.59,147
159,148.59,147
160,148.59,147
161,148.59,147
162,148.59,146
163,148.59,146
164,148.59,147
165,148.59,147
166,148.59,146
167,148.59,146
168,148.59,147
169,148.59,146
170,148.59,147
171,148.59,146
172,148.59,146
173,148.59,146
174,148.59,146
175,148.59,147
176,148.59,147
177,148.59,146
178,148.59,146
179,148.59,146
180,148.59,147
181,148.59,146
182,148.59,147
183,148.59,146
184,148.59,146
185,148.59,146
186,148.59,146
187,148.59,146
188,148.59,146
189,148.59,146
190,148.59,146
191,148.59,146
192,148.59,146
193,148.59,146
194,148.59,147
195,148.59,147
196,148.59,147
197,148.59,146
198,148.59,147
199,148.59,147
200,148.59,146
201,148.59,147
202,148.59,146
203,148.59,146
204,148.59,146
205,148.59,146
206,148.59,147
207,148.59,146
208,148.59,146
209,148.59,146
210,148.59,147
211,148.59,146
212,148.59,146
213,148.59,146
214,148.59,146
215,148.59,147
216,148.59,146
217,148.59,146
218,148.59,146
219,148.59,146
220,148.59,146
221,148.59,146
222,148.59,146
223,148.59,146
224,148.59,146
225,148.59,146
226,148.59,146
227,148.59,146
228,148.59,146
229,148.59,146
230,148.59,146
231,148.59,146
232,148.59,146
233,148.59,146
234,148.59,146
235,148.59,146
236,148.59,147
237,148.59,146
238,148.59,147
239,148.59,146
240,148.59,146
241,148.59,146
242,148.59,146
243,148.59,146
244,148.59,146
245,148.59,147
246,148.59,146
247,148.59,146
248,148.59,146
249,148.59,146
250,148.59,146
251,148.59,146
252,148.59,146
253,148.59,146
254,148.59,147
255,148.59,146
256,148.59,146
257,148.59,146
258,148.59,146
259,148.59,146
260,148.59,146
261,148.59,146
262,148.59,147
263,148.59,146
264,148.59,146
265,148.59,146
266,148.59,146
267,148.59,146
268,148.59,146
269,148.59,146
270,148.59,146
271,148.59,146
272,148.59,146
273,148.59,146
274,148.59,147
275,148.59,146
276,148.59,146
277,148.59,146
278,148.59,146
279,148.59,147
280,148.59,146
281,148.59,146
282,148.59,146
283,148.59,146
284,148.59,146
285,148.59,146
286,148.59,146
287,148.59,146
288,148.59,147
289,148.59,146
290,148.59,146
291,148.59,147
292,148.59,147
293,148.59,146
294,148.59,146
295,148.59,146
296,148.59,146
297,148.59,146
298,148.59,146
299,148.59,146
300,148.59,146
301,148.59,146
302,148.59,147
303,148.59,146
304,148.59,146
305,148.59,147
306,148.59,147
307,148.59,146
308,148.59,146
309,148.59,146
310,148.59,146
311,148.59,146
312,148.59,146
313,148.59,146
314,148.59,146
315,148.59,146
316,148.59,146
317,148.59,146
318,148.59,146
319,148.59,146
320,148.59,147
321,148.59,146
322,148.59,146
323,148.59,147
324,148.59,146
325,148.59,147
326,148.59,146
327,148.59,146
328,148.59,146
329,148.59,146
330,148.59,146
331,148.59,146
332,148.59,146
333,148.59,146
334,148.59,146
335,148.59,146
336,148.59,146
337,148.59,146
338,148.59,146
339,148.59,146
340,148.59,146
341,148.59,146
342,148.59,146
343,148.59,146
344,148.59,146
345,148.59,146
346,148.59,146
347,148.59,146
348,148.59,147
349,148.59,146
350,148.59,146
351,148.59,146
352,148.59,146
353,148.59,146
354,148.59,146
355,148.59,146
356,148.59,146
357,148.59,146
358,148.59,146
359,148.59,146
360,148.59,146
361,148.59,146
362,148.59,146
363,148.59,147
364,148.59,146
365,148.59,146
366,148.59,146
367,148.59,146
368,148.59,146
369,148.59,146
370,148.59,146
371,148.59,146
372,148.59,146
373,148.59,146
374,148.59,147
375,148.59,146
376,148.59,146
377,148.59,146
378,148.59,146
379,148.59,147
380,148.59,146
381,148.59,147
382,148.59,146
383,148.59,146
384,148.59,146
385,148.59,147
386,148.59,146
387,148.59,146
388,148.59,146
389,148.59,146
390,148.59,146
391,148.59,146
392,148.59,147
393,148.59,146
394,148.59,146
395,148.59,146
396,148.59,146
397,148.59,146
398,148.59,146
399,148.59,146
400,148.59,146
401,148.59,146
402,148.59,146
403,148.59,146
404,148.59,147
405,148.59,146
406,148.59,147
407,148.59,146
408,148.59,147
409,148.59,146
410,148.59,146
411,148.59,146
412,148.59,146
413,148.59,146
414,148.59,146
415,148.59,146
416,148.59,146
417,148.59,146
418,148.59,146
419,148.59,146
420,148.59,146
421,148.59,146
422,148.59,146
423,148.59,146
424,148.59,146
425,148.59,146
426,148.59,146
427,148.59,146
428,148.59,146
429,148.59,146
430,148.59,146
431,148.59,146
432,148.59,146
433,148.59,146
434,148.59,146
435,148.59,146
436,148.59,146
437,148.59,146
438,148.59,146
439,148.59,146
440,148.59,146
441,148.59,147
442,148.59,146
443,148.59,146
444,148.59,146
445,148.59,146
446,148.59,146
447,148.59,146
448,148.59,146
449,148.59,146
450,148.59,147
451,148.59,146
452,148.59,146
453,148.59,147
454,148.59,146
455,148.59,146
456,148.59,146
457,148.59,146
458,148.59,146
459,148.59,146
460,148.59,146
461,148.59,146
462,148.59,146
463,148.59,146
464,148.59,146
465,148.59,146
466,148.59,146
467,148.59,146
468,148.59,146
469,148.59,146
470,148.59,146
471,148.59,146
472,148.59,146
473,148.59,146
474,148.59,146
475,148.59,146
476,148.59,147
477,148.59,146
478,148.59,146
479,148.59,146
480,148.59,146
481,148.59,146
482,148.59,146
483,148.59,146
484,148.59,146
485,148.59,147
486,148.59,146
487,148.59,147
488,148.59,146
489,148.59,147
490,148.59,146
491,148.59,146
492,148.59,146
493,148.59,146
494,148.59,146
495,148.59,146
496,148.59,146
497,148.59,146
498,148.59,146
499,148.59,146
500,148.59,147
501,148.59,146
502,148.59,146
503,148.59,146
504,148.59,146
505,148.59,146
506,148.59,146
507,148.59,146
508,148.59,146
509,148.59,146
510,148.59,146
511,148.59,146
512,148.59,146
513,148.59,146
514,148.59,146
515,148.59,146
516,148.59,146
517,148.59,146
518,148.59,146
519,148.59,146
520,148.59,146
521,148.59,146
522,148.59,146
523,148.59,146
524,148.59,147
525,148.59,146
526,148.59,146
527,148.59,146
528,148.59,146
529,148.59,147
530,148.59,146
531,148.59,146
532,148.59,146
533,148.59,146
534,148.59,146
535,148.59,146
536,148.59,146
537,148.59,146
538,148.59,146
539,148.59,146
540,148.59,146
541,148.59,146
542,148.59,146
543,148.59,147
544,148.59,146
545,148.59,146
546,148.59,146
547,148.59,146
548,148.59,146
549,148.59,146
550,148.59,146
551,148.59,146
552,148.59,146
553,148.59,146
554,148.59,146
555,148.59,146
556,148.59,146
557,148.59,146
558,148.59,146
559,148.59,146
560,148.59,146
561,148.59,146
562,148.59,146
563,148.59,147